Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
Aguiar et al. 2007,-53.37805556,-22.81888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2355,228,area,1,0,446.4500638,29,64
Aguiar et al. 2007,-53.28305556,-22.75694444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2340,118,area,1,0,519.5020056,14,65
"Gestich, 2016",-47.92260278,-21.91908889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5655,101,area,1,0,10.04638349,13,66
"Gestich, 2016",-47.78342222,-21.90458056,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5646,1,area,0,44.38332025,11.91776865,4,67
"Gestich, 2016",-47.89529167,-21.96286389,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5654,120,area,1,0,14.77409337,12,68
"Gestich, 2016",-47.99478333,-21.62144167,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5658,38,area,1,0,46.39065319,16,69
"Gestich, 2016",-47.56750556,-21.81781389,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5643,124,area,1,0,64.80902293,1,70
"Gestich, 2016",-47.92631944,-21.73179444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5656,16,area,0,31.38374672,80.27257399,14,71
"Gestich, 2016",-47.84073333,-21.63543611,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5653,147,area,1,0,84.704802,11,72
"Gestich, 2016",-47.72764167,-22.00080278,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5649,84,area,1,0,85.59124761,7,73
