Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new
Aguiar et al. 2007,-53.30944444,-22.77527778,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3173,75,75
Aguiar et al. 2007,-53.31388889,-22.78583333,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3174,75,75
Aguiar et al. 2007,-53.325,-22.72916667,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3175,75,75
Aguiar et al. 2007,-53.32694444,-22.78777778,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3176,75,75
Aguiar et al. 2007,-53.32805556,-22.75888889,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3177,75,75
Aguiar et al. 2007,-53.33472222,-22.86027778,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3178,75,75
Aguiar et al. 2007,-53.33583333,-22.87861111,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3179,75,75
Aguiar et al. 2007,-53.34222222,-22.79388889,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3180,75,75
Aguiar et al. 2007,-53.34638889,-22.7775,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3181,75,75
Aguiar et al. 2007,-53.34805556,-22.75027778,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3182,75,75
Aguiar et al. 2007,-53.35527778,-22.8,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3183,75,75
Aguiar et al. 2007,-53.37805556,-22.81888889,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3184,75,75
Aguiar et al. 2007,-53.3825,-22.80055556,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3185,75,75
Aguiar et al. 2007,-53.39777778,-22.81083333,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3186,75,75
Ancrenaz et al. 2004,118.3014,5.541167,Malaysia,Asia,Hominidae,Pongo,Pongo pygmaeus,Pongo_pygmaeus,1,2000,Tropical_and_suptropical_moist_broadleaf_forest,Pongo pygmaeus,Critically Endangered,125,a,Pongo_pygmaeus_a,786,75,75
Ancrenaz et al. 2004,118.3073,5.546528,Malaysia,Asia,Hominidae,Pongo,Pongo pygmaeus,Pongo_pygmaeus,1,2000,Tropical_and_suptropical_moist_broadleaf_forest,Pongo pygmaeus,Critically Endangered,125,a,Pongo_pygmaeus_a,787,75,75
Ancrenaz et al. 2004,118.2989,5.547806,Malaysia,Asia,Hominidae,Pongo,Pongo pygmaeus,Pongo_pygmaeus,1,2000,Tropical_and_suptropical_moist_broadleaf_forest,Pongo pygmaeus,Critically Endangered,125,a,Pongo_pygmaeus_a,788,75,75
Ancrenaz et al. 2004,118.2944,5.540167,Malaysia,Asia,Hominidae,Pongo,Pongo pygmaeus,Pongo_pygmaeus,1,2000,Tropical_and_suptropical_moist_broadleaf_forest,Pongo pygmaeus,Critically Endangered,125,a,Pongo_pygmaeus_a,789,75,75
