Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2,row_id_3
Barbisan 2008 (thesis),-53.86063611,-29.77628056,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2200,75,75,4,area,0,32.33768233,0.627435419,13,86,71
Barbisan 2008 (thesis),-53.86865833,-29.77307778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2201,75,75,198,area,1,0,1.568588547,14,87,72
Barbisan 2008 (thesis),-53.86974722,-29.75809722,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2199,75,75,213,area,1,0,2.823459385,12,88,73
Barbisan 2008 (thesis),-53.87841389,-29.77815833,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2194,75,75,1,area,0,32.33768233,5.124055922,7,89,74
Barbisan 2008 (thesis),-53.85162222,-29.74291111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2198,75,75,189,area,1,0,9.829821564,11,90,75
Barbisan 2008 (thesis),-53.83559444,-29.746025,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,0,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2196,75,75,169,area,1,0,11.0846924,9,91,76
Barbisan 2008 (thesis),-53.88381389,-29.76112222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2192,75,75,215,area,1,0,18.50934486,5,92,77
Barbisan 2008 (thesis),-53.87581389,-29.75615,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2191,75,75,212,area,1,0,23.84254592,4,93,78
Barbisan 2008 (thesis),-53.82789444,-29.73554444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2193,75,75,139,area,1,0,42.87475363,6,94,79
Barbisan 2008 (thesis),-53.82790556,-29.77951667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2005,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta guariba,Vulnerable,4,a,Alouatta_guariba_a,2190,75,75,109,area,1,0,46.01193073,3,95,80
de Almeida e Silva et al. 2017,-45.95861111,-23.20833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5914,75,75,1,area,0,345.1806101,0.590824729,9,102,81
de Almeida e Silva et al. 2017,-45.965,-23.23472222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,1,2014,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta guariba,Vulnerable,4,d,Alouatta_guariba_d,5910,75,75,1,area,0,62.76011093,0.984707881,5,103,82
